Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_tau_0, -0.875837019547, 0.147727280458, 0.00811654116792, -1.15278062868, -0.585868682825, -1.14928212995, -0.984160173304, -0.876742435795, -0.773546064342, -0.579623682006
log_tau_1, -5.59314823319, 0.61385110437, 0.028572001425, -6.77738514599, -4.45456593152, -6.69840357346, -6.03990754311, -5.60224730546, -5.18464043511, -4.30819392845
c_0, 0.51338913516, 0.0483855012361, 0.00304999450528, 0.422037609552, 0.609154588536, 0.433754790848, 0.479319833564, 0.507407930946, 0.540690299598, 0.629193907388
c_1, 0.498154803338, 0.182316204981, 0.0100194344888, 0.209717454315, 0.850950041071, 0.226236130831, 0.356395159487, 0.473062366471, 0.614534908436, 0.911917436679
R0, 1.02471544286, 0.00494737285821, 0.000204267278938, 1.01545344026, 1.03447188933, 1.0154791098, 1.02131116873, 1.02473278885, 1.02800543987, 1.03459845826
m_0, 0.335722174932, 0.0479459404223, 0.00309926904901, 0.228403099723, 0.410230054984, 0.225703913729, 0.308422591264, 0.342591635154, 0.372194122112, 0.410110665683
m_1, 0.617510519236, 0.230544638334, 0.0106352940888, 0.206892356604, 0.989854751513, 0.173568835528, 0.438460699661, 0.635599727528, 0.814643816108, 0.973587205632
