Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
R0, 1.01822998055, 0.0130776910985, 0.000654160760945, 0.993970400221, 1.04473753351, 0.991408567778, 1.00996909376, 1.01809870911, 1.02678954516, 1.04321104149
a_0, 0.01720106158, 0.000971966157488, 4.48848652208e-05, 0.0154497785926, 0.0191368949682, 0.015453505627, 0.0165331624115, 0.0171539590624, 0.0178432516315, 0.0191519423446
a_1, -0.0108320237803, 0.00174491823267, 5.99435848985e-05, -0.0144423958937, -0.00759481417355, -0.0142076775858, -0.012064069251, -0.0108274041732, -0.00962008704427, -0.00734621336867
a_2, -0.00352696225372, 0.000699777926625, 3.19519575346e-05, -0.00483860326593, -0.0022350727073, -0.00494015221149, -0.00397905832742, -0.00353118104813, -0.00304198349126, -0.00226114275051
a_3, 0.00191371010242, 0.000752826185318, 3.17593611281e-05, 0.000440237579919, 0.00335341933321, 0.000418545937866, 0.00140185479582, 0.00192680687111, 0.00244709955286, 0.00335145819856
a_4, 0.000516571152167, 0.000139094765463, 5.81818619193e-06, 0.000251365930126, 0.000803730690799, 0.000232722186584, 0.00042419029779, 0.000512227647074, 0.000616749698642, 0.000794255353668
log_mean_tau, -1.02994802638, 0.0417777592054, 0.00181924206956, -1.10946326958, -0.947771066599, -1.10469995047, -1.05809443124, -1.0308149944, -1.00370180882, -0.941764181566
m__0, 0.0668303314398, 0.0116369907803, 0.000515666171407, 0.0428121980939, 0.0879032599524, 0.0438077852741, 0.0588847318326, 0.0671050836254, 0.0749570190159, 0.0894573434644
m__1, 0.0505099946826, 0.00812248208913, 0.000362014698715, 0.035309645992, 0.0663668466049, 0.0345540703275, 0.044667610992, 0.0507346170334, 0.055971108155, 0.0660331054657
m__2, 0.0374174236208, 0.00535283333388, 0.000239318229315, 0.027038019708, 0.0473589098431, 0.0270547427384, 0.033603090382, 0.0375205099072, 0.041109712534, 0.0475488822934
m__3, 0.0271783225316, 0.00326689808716, 0.000144547964359, 0.0212409704379, 0.0339115946732, 0.0206466707279, 0.0247267033894, 0.0273110152076, 0.0294000651633, 0.0336025612027
m__4, 0.0194382320246, 0.00186732556531, 7.67670908172e-05, 0.0159184780902, 0.0231313662769, 0.0157734287443, 0.0182301036389, 0.0194435171008, 0.0206394483285, 0.0230768182025
m__5, 0.0138625290413, 0.00128889785412, 4.36840470307e-05, 0.0113822885127, 0.0163564964421, 0.0113918544897, 0.0129631561641, 0.0138615383458, 0.0147459329542, 0.0163903849677
m__6, 0.0101364268557, 0.00140564400395, 5.14098742045e-05, 0.00736713246368, 0.0126457383224, 0.00755512891399, 0.00917530238814, 0.0101072444848, 0.0112031936938, 0.0128895743704
m__7, 0.007964975074, 0.00164937575927, 6.7888916471e-05, 0.0045066259953, 0.0107034697899, 0.00489579501922, 0.00680870905835, 0.00797526483588, 0.00913791205909, 0.0111605292746
m__8, 0.00707305963459, 0.00177628972406, 7.84784729513e-05, 0.00358579871915, 0.0102249313165, 0.00372463970419, 0.00578757388783, 0.00708037592214, 0.0083337732098, 0.0104237264372
