Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
a_0, 0.00342609088171, 0.000108382736755, 6.98825110365e-06, 0.00322721487179, 0.00364860620704, 0.00319063885617, 0.00335700669939, 0.00342852066317, 0.00349805036198, 0.00362878208272
a_1, -0.000895882384664, 0.000129871889139, 9.24061187213e-06, -0.00114084218019, -0.00065819928653, -0.00114628678268, -0.000988761274055, -0.000890457311356, -0.000801666912022, -0.00065819928653
a_2, -0.000628901314809, 0.000119349729582, 5.59406894659e-06, -0.000884757197402, -0.000415748240567, -0.000864608845173, -0.000706673596243, -0.00063138171481, -0.0005497055311, -0.000382422461638
a_3, 0.000316510768677, 9.27491529704e-05, 5.50518780586e-06, 0.000130660203977, 0.000479856173487, 0.000142056892016, 0.000250139899877, 0.000321765640119, 0.000375109528279, 0.000496895645536
a_4, 0.000166749060276, 1.62808625317e-05, 1.0224883417e-06, 0.000133835968023, 0.00019552894489, 0.000135078073637, 0.00015539513132, 0.0001673802472, 0.000177673259899, 0.000198913985197
R0, 1.00803811902, 0.00340150291979, 0.000200619282506, 1.00089076144, 1.01367653035, 1.0017041346, 1.0057761597, 1.00799880671, 1.01027734532, 1.01526585773
total_m, 0.0623275222025, 0.000828490311931, 5.57660801076e-05, 0.0607552830752, 0.0638873677565, 0.0606322113451, 0.0617892916093, 0.0623363792026, 0.062943107776, 0.0638717246957
log_mean_tau, -1.0402547794, 0.0139856995863, 0.00089283107329, -1.06696473167, -1.01335303259, -1.07192035704, -1.04861290744, -1.03984255846, -1.03087929388, -1.01556952741
m__0, 0.0568372865224, 0.0015886525879, 0.000100808177279, 0.0539759081348, 0.0600013184833, 0.0537595763495, 0.0558024162529, 0.0567991396195, 0.0579436542877, 0.0598338412699
m__1, 0.0467502190605, 0.0011628987117, 7.29098414456e-05, 0.0445739649247, 0.0489981427923, 0.0444551658587, 0.0459661546632, 0.0467568790276, 0.0475621143707, 0.0489928472161
m__2, 0.0380928638924, 0.000822512570871, 5.04812818122e-05, 0.0364433807975, 0.0395857463931, 0.0364738865369, 0.0375437255798, 0.0380831754943, 0.038658254326, 0.0396753035971
m__3, 0.0307299391828, 0.000558651651457, 3.29166376792e-05, 0.0296845244429, 0.0318048143376, 0.0296757556017, 0.0303369817712, 0.0307229645817, 0.031121816058, 0.0318021252319
m__4, 0.0245325662606, 0.000364642692228, 1.973857434e-05, 0.0238692166476, 0.0252624361617, 0.0238294494828, 0.024274906389, 0.0245337804864, 0.0247768502622, 0.0252595005039
m__5, 0.0193782696186, 0.000237313043577, 1.08239665795e-05, 0.0189634609282, 0.0198535912247, 0.0189179256616, 0.019218021399, 0.0193703571993, 0.0195406293206, 0.0198443955534
m__6, 0.0151509769134, 0.000174677745654, 6.95884888488e-06, 0.0148216730684, 0.0154889411717, 0.014819887588, 0.0150391014449, 0.0151481584119, 0.0152698759384, 0.0154886930313
m__7, 0.0117410189655, 0.00016003772336, 7.59610783894e-06, 0.0114583480916, 0.0120680159083, 0.0114337752887, 0.0116327958364, 0.0117426925509, 0.0118548096344, 0.0120470731706
m__8, 0.00904512975952, 0.000161515232426, 8.97479801402e-06, 0.00874352411405, 0.009358234363, 0.0087489916574, 0.00892630187062, 0.00904763731535, 0.00915614779862, 0.00937073195567
m__9, 0.00696644644372, 0.000159274602491, 9.52580374429e-06, 0.00665467335908, 0.00726577051192, 0.00666096021463, 0.00685247751585, 0.00696353186438, 0.00708048196185, 0.0072758827462
m__10, 0.00541450933045, 0.00014809778052, 9.14344367176e-06, 0.00510293708317, 0.00567823351436, 0.00512614206948, 0.00531139836958, 0.00541234758917, 0.00551718111613, 0.00571308142149
m__11, 0.00430526189594, 0.000128977096142, 8.03374926034e-06, 0.00405190364973, 0.00454642659121, 0.00406092544033, 0.00421281118166, 0.00430675516371, 0.00439419758809, 0.00456613968783
m__12, 0.0035610507803, 0.000104979330443, 6.46173884532e-06, 0.00335105581336, 0.00375361971945, 0.00336228849006, 0.00348908817205, 0.0035590011005, 0.00363714365511, 0.00377157412116
m__13, 0.00311062578761, 7.99501759586e-05, 4.70331939659e-06, 0.0029508266327, 0.00326213264047, 0.0029508266327, 0.0030588668829, 0.00310832788563, 0.00316628941958, 0.00327156879894
m__14, 0.00288913988581, 5.84585886792e-05, 3.07330521561e-06, 0.0027852069323, 0.00301467415899, 0.00277198658837, 0.00285138716097, 0.00288789835609, 0.00292982441202, 0.00300519190173
m__15, 0.00283814920679, 4.58887203086e-05, 2.07290219881e-06, 0.00274870522735, 0.00292777166097, 0.00274958192075, 0.00280805554092, 0.00283975563165, 0.00287150511805, 0.00292876391835
m__16, 0.00290561304635, 4.46784544349e-05, 2.19830955922e-06, 0.00281947128887, 0.00299464932364, 0.00281598523978, 0.00287443320122, 0.00290627111352, 0.0029351312918, 0.00299424976082
m__17, 0.00304589386418, 4.93682393633e-05, 2.83848119574e-06, 0.00295891948944, 0.00314868281243, 0.00295022314245, 0.0030136401202, 0.0030484744942, 0.00307862063215, 0.00314471217369
m__18, 0.00321975728392, 5.34834751573e-05, 3.33402826938e-06, 0.00312153226915, 0.00333243943014, 0.0031152155343, 0.00318303473535, 0.00322204592176, 0.00325850411935, 0.00332921481822
m__19, 0.00339437209309, 5.45714614938e-05, 3.50805815021e-06, 0.00328752647217, 0.00350350949667, 0.00328752647217, 0.0033554770817, 0.00339397816649, 0.00343111364142, 0.00350776274368
m__20, 0.00354331024316, 5.35050289595e-05, 3.40698460781e-06, 0.00343836222782, 0.00365303613516, 0.00343836222782, 0.00350664822652, 0.00354368511765, 0.00357569891534, 0.00365403221448
m__21, 0.00364654684949, 5.38194944442e-05, 3.26046949184e-06, 0.00354845475001, 0.00376001707631, 0.00354845475001, 0.00360725576653, 0.00364561099531, 0.00368129768554, 0.00376127662074
m__22, 0.00369046019135, 5.99918073729e-05, 3.46572915663e-06, 0.00357089457893, 0.00380870595136, 0.00357288925932, 0.00364833368403, 0.00368712465998, 0.00372908262636, 0.00381558977514
m__23, 0.00366783171195, 7.33331495565e-05, 4.28474404137e-06, 0.00352383360255, 0.00382336047755, 0.00351438118911, 0.00362168177081, 0.00366938374385, 0.00371283650781, 0.00381563996044
m__24, 0.0035778460184, 9.09200643841e-05, 5.56759684176e-06, 0.00338487291923, 0.00375210738643, 0.00338487291923, 0.00352323487674, 0.00358016590797, 0.0036325298474, 0.00375752077728
m__25, 0.00342609088171, 0.000108382736755, 6.98825110365e-06, 0.00322721487179, 0.00364860620704, 0.00319063885617, 0.00335700669939, 0.00342852066317, 0.00349805036198, 0.00362878208272
m__26, 0.00322455723683, 0.000121556020631, 8.2342859658e-06, 0.00301014569749, 0.0034770280209, 0.00296022606812, 0.00314509872623, 0.00323092682203, 0.00330810325823, 0.00344851686955
m__27, 0.00299163918261, 0.000127155960771, 9.02372631091e-06, 0.00275392146966, 0.00323938856258, 0.0027191376301, 0.00291290711868, 0.00299901873903, 0.00307798091575, 0.00322187567822
m__28, 0.00275213398182, 0.000124551280019, 9.12068306762e-06, 0.00250012884713, 0.00297333002914, 0.00248824437612, 0.00266616874303, 0.00275987162687, 0.00283736472597, 0.00297146434326
