r0,m1,log_tau1,c1
1.015473982901575978e+00,3.142904402613035941e-01,-2.661651847611206989e+00,4.349474947496084209e-01
1.023894125315190973e+00,3.611086985486879342e-01,-2.126159357646085990e+00,5.023063872302582222e-01
1.034279432641871832e+00,4.168984549561335351e-01,-1.665732588040141460e+00,5.661369443870591933e-01
