Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_tau_0, -0.618511385372, 0.0455325084813, 0.00161375436821, -0.707083807639, -0.527724275899, -0.709171375617, -0.64826155677, -0.617614188949, -0.588117398138, -0.52922089093
log_tau_1, -5.46889216853, 0.246343799716, 0.0137746405125, -5.85367452886, -4.98076469425, -5.81223270284, -5.66195469024, -5.52109348272, -5.31379247802, -4.89327460012
m_0, 0.131793206697, 0.00526039220579, 0.000166583920025, 0.121798491938, 0.142274655156, 0.121855617214, 0.128194367468, 0.131683501309, 0.135149078614, 0.142617685133
m_1, 0.753171403577, 0.16358985139, 0.00880613220326, 0.456873736244, 0.998782566285, 0.417242297711, 0.631240986089, 0.776832165995, 0.890967729538, 0.987633397477
c_0, 0.473942392681, 0.0167341765019, 0.000510213660144, 0.441605400771, 0.507872897604, 0.439906807764, 0.462896674092, 0.474169686869, 0.485113612591, 0.506786039827
c_1, 0.563434241422, 0.0306866116359, 0.00140175538538, 0.504192857395, 0.623173151379, 0.510199917239, 0.542812745496, 0.560911940712, 0.580860298429, 0.63067171997
R0, 1.00847119978, 0.00199356589857, 4.78222910979e-05, 1.00450770891, 1.01230204405, 1.00462491663, 1.00711774944, 1.0084522942, 1.00984130194, 1.0124666723
