freq, amp, pha, amp_err, pha_err
2.000000000000000000e+04,3.126072499999999854e+04,-2.987558620455034202e+02,1.129533416152631617e+03,2.493786357626201067e+01
1.200000000000000000e+04,3.184977999999999884e+04,-1.964027733915479246e+02,1.194162853710396575e+03,1.553920888259245281e+01
6.000000000000000000e+03,3.253754999999999563e+04,-1.173620475564806895e+02,1.254087783656114425e+03,8.322370274850147354e+00
3.000000000000000000e+03,3.313201000000000204e+04,-7.596371036380119790e+01,1.290208682145060493e+03,4.573674742285494865e+00
1.500000000000000000e+03,3.368002000000000407e+04,-5.376050428455534558e+01,1.326141403995204200e+03,2.674773173399040971e+00
7.500000000000000000e+02,3.418845999999999913e+04,-4.021500395982734943e+01,1.347635057058081884e+03,1.620550796694850249e+00
3.750000000000000000e+02,3.462036500000000524e+04,-3.155904353456146794e+01,1.359240480805239486e+03,7.406283880718108614e-01
1.889000000000000057e+02,3.497617500000000291e+04,-2.544166450632134158e+01,1.417146275708029407e+03,8.379648781101147748e-01
9.375000000000000000e+01,3.530136500000000524e+04,-2.287428517663768446e+01,1.370401730373916507e+03,1.143686000683769022e+00
4.687500000000000000e+01,3.559077000000000407e+04,-2.206881572684229909e+01,1.390450309927386115e+03,2.259543859229456331e+00
2.343750000000000000e+01,3.592503500000000349e+04,-2.378709237543071708e+01,1.343769719643624740e+03,2.895168893159816736e+00
1.171875000000000000e+01,3.632022000000000116e+04,-2.622357201121480230e+01,1.284871657680256021e+03,3.938490975240393155e+00
5.859375000000000000e+00,3.676982499999999709e+04,-2.904140608855964345e+01,1.220341622129287771e+03,5.301024809162497853e+00
2.929686999999999930e+00,3.729877999999999884e+04,-3.120735969028461199e+01,1.121260188057121468e+03,6.266047293738393087e+00
1.464844000000000035e+00,3.787776499999999942e+04,-3.175626574003683089e+01,9.987470335348034496e+02,6.221283636231166092e+00
7.324220000000000175e-01,3.846447999999999593e+04,-3.037571030170931863e+01,8.867800508237062331e+02,5.197989791732112508e+00
3.662110000000000087e-01,3.901533999999999651e+04,-2.729520417193932502e+01,8.071531944712177165e+02,3.509099721943860661e+00
1.831049999999999900e-01,3.950472999999999593e+04,-2.322684168554053841e+01,7.594812743035014364e+02,2.043407168920040817e+00
9.155299999999999550e-02,3.994118000000000029e+04,-1.895776633516240750e+01,7.260839232794766076e+02,1.181267671256764018e+00
4.577599999999999725e-02,4.034658999999999651e+04,-1.528472092434034124e+01,6.792386173962140674e+02,8.822603990438787624e-01
2.288799999999999862e-02,4.078268499999999767e+04,-1.233162382996593642e+01,6.239691275136422064e+02,1.134465367813537240e+00
1.144399999999999931e-02,4.122919000000000233e+04,-9.921324132961766296e+00,5.467955299320099130e+02,1.731147147455643465e+00
