freq, amp, pha, amp_err, pha_err
6.000000000000000000e+03,7.265747000000000116e+04,-2.067848644470361990e+02,7.893361153635830760e+02,6.936720955812720746e+00
3.000000000000000000e+03,7.556344000000000233e+04,-1.324748535494996133e+02,8.254886471382310447e+02,3.606068998725662667e+00
1.500000000000000000e+03,7.777298000000001048e+04,-8.877966306119557771e+01,8.685838221957230871e+02,2.214525941922545371e+00
7.500000000000000000e+02,7.951473999999999069e+04,-6.262241356155655581e+01,8.971231871215163665e+02,1.351454509600023890e+00
3.750000000000000000e+02,8.091288000000000466e+04,-4.595451920501070475e+01,9.024074481423618863e+02,4.081872563969082268e-01
1.889000000000000057e+02,8.207523999999999069e+04,-3.498250686234835172e+01,1.022397581462640460e+03,1.428425152756231942e+00
9.375000000000000000e+01,8.298807499999999709e+04,-2.850297201431940053e+01,8.923084288807496023e+02,7.930863697145733582e-01
4.687500000000000000e+01,8.379839499999998952e+04,-2.460826978849404867e+01,8.907277643757785199e+02,9.959143088412171219e-01
2.343750000000000000e+01,8.455019000000000233e+04,-2.296242430386339350e+01,8.455950807366886011e+02,1.180799302758790859e+00
1.171875000000000000e+01,8.530738999999999942e+04,-2.309245133313697806e+01,8.137851596140438915e+02,1.482920240053451799e+00
5.859375000000000000e+00,8.612821499999999651e+04,-2.447126144221249788e+01,7.481027553308628057e+02,1.983217716922770268e+00
2.929686999999999930e+00,8.707608999999999651e+04,-2.654209459970376628e+01,6.610188211211328735e+02,2.201851789709192264e+00
1.464844000000000035e+00,8.817603500000000349e+04,-2.872462882932267902e+01,5.455566436354607731e+02,2.218472924934638879e+00
7.324220000000000175e-01,8.944299499999999534e+04,-2.953184360837005329e+01,4.674685944399107029e+02,1.977143449065707603e+00
3.662110000000000087e-01,9.074112500000000000e+04,-2.834763771089190243e+01,4.083876047894676731e+02,1.281422173293136124e+00
1.831049999999999900e-01,9.191733000000000175e+04,-2.491544773684504932e+01,3.694367928073540952e+02,4.828862550359115380e-01
9.155299999999999550e-02,9.292527499999999418e+04,-2.091515309127404976e+01,3.743510522734609935e+02,5.820673055401081042e-01
4.577599999999999725e-02,9.377298500000000058e+04,-1.718014849200618599e+01,3.479531739288049721e+02,4.838226062047668030e-01
2.288799999999999862e-02,9.451064999999999418e+04,-1.411098700237415571e+01,3.872202654630340817e+02,4.905108106581037575e-01
1.144399999999999931e-02,9.537916000000000349e+04,-1.161342084277026920e+01,6.098466900786970655e+02,1.199544266426235906e+00
