freq, amp, pha, amp_err, pha_err
2.000000000000000000e+04,1.254182500000000000e+05,-6.688223866689910437e+02,9.189466966747195329e+03,1.880798751339912300e+01
1.200000000000000000e+04,1.396081000000000058e+05,-4.509756254228148578e+02,1.146856677327023681e+04,1.687196919260793493e+01
6.000000000000000000e+03,1.503877999999999884e+05,-2.591045994340702237e+02,1.344456912014963382e+04,1.041961956530796662e+01
3.000000000000000000e+03,1.558770499999999884e+05,-1.529519289985230444e+02,1.428509570187726968e+04,5.255358073021950460e+00
1.500000000000000000e+03,1.594971499999999942e+05,-9.809884860221929159e+01,1.478515149120297974e+04,1.441343184231586250e+00
7.500000000000000000e+02,1.625857500000000000e+05,-7.275055921087964350e+01,1.499929167037303341e+04,2.439023785111650522e+00
3.750000000000000000e+02,1.657604500000000116e+05,-6.433807221626696560e+01,1.503023667741719328e+04,5.433318519554913628e+00
1.889000000000000057e+02,1.697133499999999767e+05,-6.311372374599294233e+01,1.524480684722340629e+04,1.047528395557153225e+01
9.375000000000000000e+01,1.744165499999999884e+05,-6.567935774642461411e+01,1.453952688074588696e+04,1.086403632745270542e+01
4.687500000000000000e+01,1.794997500000000000e+05,-6.734789251133119592e+01,1.411986651815906225e+04,1.145412325402634224e+01
2.343750000000000000e+01,1.843550499999999884e+05,-6.793519580462728413e+01,1.341112990217316656e+04,1.454229708703329571e+01
1.171875000000000000e+01,1.895727500000000000e+05,-7.217110989921752662e+01,1.249343245597598798e+04,1.813339553950418903e+01
5.859375000000000000e+00,1.957077000000000116e+05,-8.070664260609579799e+01,1.116871070806672469e+04,1.927599424386052007e+01
2.929686999999999930e+00,2.033761000000000058e+05,-8.917847079527626875e+01,9.680176628169157993e+03,1.920127427604837678e+01
1.464844000000000035e+00,2.124820499999999884e+05,-9.244223649650565733e+01,8.150663502557070387e+03,1.634540406377933763e+01
7.324220000000000175e-01,2.221597000000000116e+05,-8.818276045701351507e+01,7.058266063160591330e+03,1.263709497056606423e+01
3.662110000000000087e-01,2.313702999999999884e+05,-7.783295799268714177e+01,6.276018483252395527e+03,8.717599074596437347e+00
1.831049999999999900e-01,2.390902999999999884e+05,-6.392879250667431279e+01,5.937894477801619360e+03,5.488581765983332694e+00
9.155299999999999550e-02,2.453995000000000000e+05,-4.948968360492521157e+01,5.651670796955643709e+03,3.283165778487179942e+00
4.577599999999999725e-02,2.503407000000000116e+05,-3.776717968390529734e+01,5.851021122068097611e+03,4.019635871126303606e+00
2.288799999999999862e-02,2.548334500000000116e+05,-2.794359398905521630e+01,5.475550774599631950e+03,1.982009924399575240e+00
1.144399999999999931e-02,2.549363999999999942e+05,-2.148500309205019931e+01,6.965526818644096920e+02,2.732373006967395490e+00
