freq, amp, pha, amp_err, pha_err
6.000000000000000000e+03,5.484866000000000349e+04,-1.339915446694826926e+02,1.063100619719840324e+03,8.766908285722420757e+00
3.000000000000000000e+03,5.573309500000000116e+04,-7.922922139428258959e+01,1.097379087510373665e+03,4.609173725711920966e+00
1.500000000000000000e+03,5.641177999999999884e+04,-5.035623957854040356e+01,1.116337630341889280e+03,2.585153122895617717e+00
7.500000000000000000e+02,5.700407499999999709e+04,-3.383495287916208127e+01,1.129431619591530762e+03,1.480023779457032118e+00
3.750000000000000000e+02,5.748629000000000087e+04,-2.360906879172729944e+01,1.140660814100293010e+03,8.679448160275126112e-01
1.889000000000000057e+02,5.780116999999999825e+04,-1.727788693011786592e+01,1.165165335345329822e+03,1.386936291218104689e+00
9.375000000000000000e+01,5.812594499999999971e+04,-1.330377222332677967e+01,1.148772231894594370e+03,3.588712897602445162e-01
4.687500000000000000e+01,5.838720500000000175e+04,-1.145459588083878444e+01,1.153183285633723926e+03,2.305598138110547812e-01
2.343750000000000000e+01,5.863551499999999942e+04,-1.042310629291013768e+01,1.142945561264625439e+03,1.750825049339285733e-01
1.171875000000000000e+01,5.888652999999999884e+04,-1.014036295408705612e+01,1.147978542946899552e+03,1.899802787207982291e-01
5.859375000000000000e+00,5.914187000000000262e+04,-9.819222371720098153e+00,1.139381108455456115e+03,3.328639273675109700e-01
2.929686999999999930e+00,5.940233500000000640e+04,-9.560040977798941242e+00,1.131548407405457510e+03,2.679293215196929534e-01
1.464844000000000035e+00,5.966101499999999942e+04,-9.385508052599508488e+00,1.119328027718411931e+03,4.019414580832080808e-01
7.324220000000000175e-01,5.992088999999999942e+04,-9.302604913129776776e+00,1.108141618735527345e+03,4.758171291394270863e-01
3.662110000000000087e-01,6.019400000000000000e+04,-9.204866475018093297e+00,1.088040945226982785e+03,5.493232058999133471e-01
1.831049999999999900e-01,6.048493000000000029e+04,-9.209229798148081514e+00,1.060463707042504439e+03,3.617727020875119437e-01
9.155299999999999550e-02,6.082909500000000116e+04,-8.753698863377561423e+00,1.005071771987261513e+03,4.497423175129994233e-01
4.577599999999999725e-02,6.125169999999999709e+04,-7.930776121062233841e+00,9.367339583694713383e+02,7.679892248393879184e-01
2.288799999999999862e-02,6.178380000000000291e+04,-6.963863715457375925e+00,8.692492335475621985e+02,1.280366908645933055e+00
1.144399999999999931e-02,6.242369000000000233e+04,-6.174102228929942093e+00,7.405459991731634091e+02,1.765336130516102386e+00
