Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
m_i_28, 0.007669106581029695, 0.0004121216396281469, 3.887134680509549e-05, 0.006913009371645804, 0.008411719557982653, 0.006991631658976465, 0.007340600183258907, 0.00763871402120312, 0.007982622775310718, 0.008514376880922193
m_i_29, 0.00847486541504536, 0.00039983492139172025, 3.762381407297671e-05, 0.007763707443156116, 0.009178591937663651, 0.00784032891669179, 0.008143298013161365, 0.008468588641191394, 0.00875858742839748, 0.009299015647231082
m_i_30, 0.009233562876960668, 0.0003769181999161641, 3.5217325004024044e-05, 0.008642696548826065, 0.009969470557324304, 0.008642696548826065, 0.008916110405117422, 0.009209242189499702, 0.009497322821473376, 0.009969470557324304
m_i_31, 0.009916075281590414, 0.0003476584590015796, 3.204828023386715e-05, 0.00931015689285585, 0.010568708177988315, 0.009348008551199424, 0.00964770732071129, 0.009887198648602798, 0.010152820245327824, 0.010652600759112322
m_i_32, 0.01049605535179778, 0.0003186022439675007, 2.875299960110479e-05, 0.009986612702814965, 0.01114407939091823, 0.009986612702814965, 0.010283777742454307, 0.010431071179433562, 0.01070704851897562, 0.01114407939091823
m_i_33, 0.010949932218490444, 0.00029847303847661664, 2.6260128867633598e-05, 0.010448308511843234, 0.011543475916018392, 0.010448308511843234, 0.010742615826881054, 0.010911287339879054, 0.011175559626967962, 0.011567512623594274
m_i_34, 0.011256911420628539, 0.00029581323231764404, 2.561029673951499e-05, 0.010708160752373635, 0.011822918791834475, 0.010708160752373635, 0.01105614895207611, 0.011209951319563783, 0.011474508154194837, 0.011827511950159164
m_i_35, 0.011398974905215927, 0.0003138230554139659, 2.7313733733577678e-05, 0.010809936978134916, 0.011975173010848494, 0.010809936978134916, 0.011161511224090016, 0.011388007333942957, 0.011618787723659544, 0.012007975849947809
m_i_36, 0.011360881027305713, 0.00034755818030052986, 3.086907259800084e-05, 0.010776262029835828, 0.012046390309362965, 0.010740130344416775, 0.01110130049052586, 0.011375828347926067, 0.011619212437635279, 0.012031827758751732
m_i_37, 0.011130164549997509, 0.0003872039411148903, 3.517860203812325e-05, 0.010479398547061442, 0.011867988156907311, 0.010479398547061442, 0.010815151906908793, 0.011138477279714802, 0.011406294549390843, 0.0118978633727607
m_i_38, 0.010697136644440294, 0.00042236471841512887, 3.912375837337739e-05, 0.00993982279772288, 0.011516823562928274, 0.00993982279772288, 0.010386056714129392, 0.01066715213784985, 0.010969055445818462, 0.011536868471860548
m_i_39, 0.010054884889828053, 0.0004438134914759539, 4.1738186811342436e-05, 0.00912965227437994, 0.010815144054113266, 0.009212393539391156, 0.009719769297704768, 0.010019812464352277, 0.010373950076985492, 0.010934351063150176
m_i_40, 0.009199273273403825, 0.0004440048301623646, 4.219613228899666e-05, 0.008408195800489909, 0.010112274920924348, 0.008294923211680426, 0.008899193123789551, 0.009186189370222416, 0.009491773772538837, 0.010087034433290459
m_i_41, 0.008128942190456435, 0.0004183810444310191, 3.983791002921501e-05, 0.007363292012959649, 0.008967238120137293, 0.007312301478868616, 0.007862850572404876, 0.00811986513854739, 0.008391793654154578, 0.008954555014960772
m_i_42, 0.006845308444324436, 0.0003705706715853171, 3.4423674580873195e-05, 0.00609663483644305, 0.00756714440858367, 0.006103810501171968, 0.006626010604476259, 0.006837099278997485, 0.007084115940387544, 0.007590796230227124
m_i_43, 0.005352565246393417, 0.0003304965302396164, 2.7378714025313072e-05, 0.004823674588807293, 0.00611934147015372, 0.004661064031389304, 0.005146104961226541, 0.005360814240024705, 0.005557107396221749, 0.006049503634919898
