Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_m_i_28, -2.2383215043150497, 0.013357238972854159, 0.0002468992952084668, -2.264819266700073, -2.2126661221451522, -2.2652369539180333, -2.2472150236413975, -2.2379996083793983, -2.2292815526166745, -2.212777919403938
log_m_i_29, -2.2575673754740047, 0.013357238972854157, 0.00024689929520846636, -2.2840651378590433, -2.2319119933041227, -2.2844828250770037, -2.266460894800368, -2.2572454795383687, -2.248527423775645, -2.2320237905629083
log_m_i_30, -2.2728895995342606, 0.01335723897285418, 0.0002468992952084657, -2.299387361919283, -2.2472342173643622, -2.2998050491372433, -2.2817831188606075, -2.2725677035986083, -2.2638496478358845, -2.247346014623148
log_m_i_31, -2.284780467465753, 0.013357238972854192, 0.00024689929520846767, -2.311278229850785, -2.259125085295864, -2.311695917068745, -2.2936739867921094, -2.2844585715301102, -2.2757405157673865, -2.25923688255465
log_m_i_32, -2.293848705043321, 0.01335723897285416, 0.000246899295208465, -2.3203464674283634, -2.2681933228734428, -2.320764154646324, -2.302742224369688, -2.293526809107689, -2.284808753344965, -2.2683051201322284
log_m_i_33, -2.3008048204961047, 0.013357238972854246, 0.00024689929520847113, -2.3273025828811678, -2.275149438326247, -2.327720270099128, -2.3096983398224924, -2.300482924560493, -2.2917648687977694, -2.275261235585033
log_m_i_34, -2.3064413464754425, 0.013357238972854277, 0.0002468992952084689, -2.3329391088604625, -2.280785964305542, -2.333356796078423, -2.315334865801787, -2.306119450539788, -2.297401394777064, -2.2808977615643276
log_m_i_35, -2.311606123684944, 0.013357238972854197, 0.00024689929520847336, -2.338103886069979, -2.2859507415150584, -2.3385215732879394, -2.3204996430113036, -2.3112842277493044, -2.3025661719865806, -2.286062538773844
log_m_i_36, -2.3171672157135874, 0.013357238972854258, 0.00024689929520846745, -2.3436649780986456, -2.291511833543725, -2.344082665316606, -2.3260607350399702, -2.316845319777971, -2.3081272640152473, -2.2916236308025106
log_m_i_37, -2.323969431459027, 0.013357238972854263, 0.000246899295208466, -2.350467193844048, -2.2983140492891274, -2.3508848810620084, -2.3328629507853726, -2.3236475355233734, -2.3149294797606497, -2.298425846547913
log_m_i_38, -2.332784680023009, 0.013357238972854225, 0.0002468992952084711, -2.359282442408072, -2.3071292978531512, -2.3597001296260323, -2.3416781993493965, -2.3324627840873973, -2.3237447283246735, -2.307241095111937
log_m_i_39, -2.344261544763472, 0.013357238972854192, 0.0002468992952084678, -2.370759307148509, -2.3186061625935883, -2.3711769943664693, -2.3531550640898335, -2.3439396488278343, -2.3352215930651106, -2.318717959852374
log_m_i_40, -2.3588801164824966, 0.013357238972854056, 0.00024689929520846826, -2.3853778788675415, -2.333224734312621, -2.385795566085502, -2.367773635808866, -2.358558220546867, -2.349840164784143, -2.3333365315714065
log_m_i_41, -2.3769190980566726, 0.01335723897285422, 0.0002468992952084689, -2.403416860441685, -2.3512637158867644, -2.4038345476596454, -2.3858126173830096, -2.3765972021210104, -2.3678791463582867, -2.35137551314555
log_m_i_42, -2.3984407038021365, 0.01335723897285415, 0.000246899295208466, -2.424938466187166, -2.372785321632245, -2.4253561534051262, -2.4073342231284904, -2.3981188078664912, -2.3894007521037675, -2.372897118891031
log_m_i_43, -2.423295884926078, 0.013357238972854133, 0.0002468992952084711, -2.4497936473111097, -2.397640502756189, -2.45021133452907, -2.4321894042524344, -2.422973988990435, -2.4142559332277114, -2.3977523000149747
log_m_i_44, -2.451148747312558, 0.01335723897285415, 0.00024689929520846723, -2.477646509697609, -2.4254933651426884, -2.4780641969155695, -2.4600422666389337, -2.4508268513769345, -2.4421087956142107, -2.425605162401474
log_m_i_45, -2.481515786365786, 0.013357238972854155, 0.0002468992952084657, -2.508013548750821, -2.4558604041959002, -2.5084312359687813, -2.4904093056921455, -2.4811938904301463, -2.4724758346674225, -2.455972201454686
log_m_i_46, -2.5138135729066073, 0.013357238972854193, 0.00024689929520846994, -2.5403113352916002, -2.4881581907366797, -2.5407290225095607, -2.522707092232925, -2.5134916769709257, -2.504773621208202, -2.4882699879954653
log_m_i_47, -2.5474080844854203, 0.013357238972854204, 0.0002468992952084657, -2.573905846870477, -2.5217527023155566, -2.5743235340884376, -2.556301603811802, -2.5470861885498026, -2.538368132787079, -2.5218644995743422
log_m_i_48, -2.5816597921804836, 0.013357238972854176, 0.00024689929520846555, -2.608157554565482, -2.5560044100105612, -2.6085752417834422, -2.5905533115068065, -2.5813378962448073, -2.5726198404820835, -2.556116207269347
