# ID,Co_R0,Co_R0_std,Co_c1,Co_c2,Co_c_std1,Co_c_std2,Co_m1,Co_m2,Co_m_std1,Co_m_std2,Co_tau1,Co_tau2,Co_tau_std1,Co_tau_std2
SIP-K389170_avg,238498.194303,981.236835555,0.549437442086,0.629977594012,0.023339667206,0.0156671434846,0.192743542627,0.938773334018,0.00626479384823,0.0438000575726,0.377093919019,6.26889392296e-06,0.0148800683208,3.12840394153e-07
SIP-K389172_avg,261737.398662,1190.59344935,0.477220691695,0.760356716929,0.0293729810539,0.083774779582,0.379372415578,0.703642454948,0.0212024013686,0.16940083202,0.0980270292002,4.40436958008e-06,0.00900438885558,9.31601504571e-07
SIP-K389173_avg,105284.555365,702.357182206,0.289836103587,0.608563168908,0.0303478119013,0.0128008017967,0.0947767521003,0.95604340092,0.0104923480697,0.0367459284293,0.544500946282,2.41359167877e-06,0.0405420886229,9.91092973984e-08
SIP-K389174_avg,96373.3581742,167.803075777,0.452265282966,0.60732549619,0.0122488657758,0.0123453415157,0.13978495363,0.940162134323,0.00333072719331,0.0449686162225,0.207480227215,2.62454460926e-06,0.00598352547465,1.32800457408e-07
SIP-K389175_avg,41238.9963547,221.350612985,0.455438464194,0.599867156397,0.032102528524,0.0394249857819,0.147401685562,0.774015324972,0.00709823249882,0.137174245249,0.119108438496,1.3610055693e-06,0.00760600284588,2.69716834944e-07
