Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_tau_i_7, -5.79565853315, 0.0365986428259, 0.0081837053243, -5.865431786958293, -5.731654931462279, -5.86543178696, -5.82395841969, -5.79112651955, -5.76325413486, -5.73165493146
log_tau_i_8, -5.7455777577, 0.0365986428259, 0.0081837053243, -5.815351011514029, -5.681574156018014, -5.81535101151, -5.77387764425, -5.7410457441, -5.71317335942, -5.68157415602
log_tau_i_9, -5.69549698226, 0.0365986428259, 0.0081837053243, -5.765270236069764, -5.631493380573749, -5.76527023607, -5.7237968688, -5.69096496866, -5.66309258398, -5.63149338057
log_tau_i_10, -5.64541620681, 0.0365986428259, 0.0081837053243, -5.715189460625499, -5.581412605129485, -5.71518946063, -5.67371609336, -5.64088419321, -5.61301180853, -5.58141260513
log_tau_i_11, -5.59533543137, 0.0365986428259, 0.0081837053243, -5.6651086851812344, -5.53133182968522, -5.66510868518, -5.62363531792, -5.59080341777, -5.56293103309, -5.53133182969
log_tau_i_12, -5.54525465592, 0.0365986428259, 0.0081837053243, -5.61502790973697, -5.481251054240955, -5.61502790974, -5.57355454247, -5.54072264233, -5.51285025764, -5.48125105424
log_tau_i_13, -5.49517388048, 0.0365986428259, 0.0081837053243, -5.564947134292705, -5.4311702787966905, -5.56494713429, -5.52347376703, -5.49064186688, -5.4627694822, -5.4311702788
log_tau_i_14, -5.44509310504, 0.0365986428259, 0.0081837053243, -5.51486635884844, -5.381089503352426, -5.51486635885, -5.47339299158, -5.44056109144, -5.41268870675, -5.38108950335
log_tau_i_15, -5.39501232959, 0.0365986428259, 0.0081837053243, -5.464785583404176, -5.331008727908161, -5.4647855834, -5.42331221614, -5.39048031599, -5.36260793131, -5.33100872791
log_tau_i_16, -5.34493155415, 0.0365986428259, 0.0081837053243, -5.414704807959911, -5.280927952463896, -5.41470480796, -5.37323144069, -5.34039954055, -5.31252715587, -5.28092795246
log_tau_i_17, -5.2948507787, 0.0365986428259, 0.0081837053243, -5.364624032515646, -5.230847177019632, -5.36462403252, -5.32315066525, -5.2903187651, -5.26244638042, -5.23084717702
log_tau_i_18, -5.24477000326, 0.0365986428259, 0.0081837053243, -5.3145432570713815, -5.180766401575367, -5.31454325707, -5.27306988981, -5.24023798966, -5.21236560498, -5.18076640158
log_tau_i_19, -5.19468922782, 0.0365986428259, 0.0081837053243, -5.264462481627113, -5.130685626131099, -5.26446248163, -5.22298911436, -5.19015721422, -5.16228482953, -5.13068562613
log_tau_i_20, -5.14460845237, 0.0365986428259, 0.0081837053243, -5.214381706182849, -5.080604850686834, -5.21438170618, -5.17290833892, -5.14007643877, -5.11220405409, -5.08060485069
