Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
m_i_16, 0.014957628928953295, 0.00033967559581274273, 7.595377225350355e-05, 0.014223868513115046, 0.01528952776828574, 0.014223868513115046, 0.01482287631561904, 0.01493593294594415, 0.01528952776828574, 0.01528952776828574
m_i_17, 0.012613251811182937, 0.00024435955323733716, 5.464045719901646e-05, 0.012018056034533476, 0.012853053919081195, 0.012018056034533476, 0.012558014556605403, 0.01261325574229657, 0.012853053919081195, 0.012853053919081195
m_i_18, 0.010663805008952056, 0.00019090465184846704, 4.268757787541032e-05, 0.01019499125881047, 0.010832510242202283, 0.01019499125881047, 0.010666526559054246, 0.010674786272188543, 0.010832510242202283, 0.010832510242202283
m_i_19, 0.009058049476115992, 0.00017418416995261437, 3.89487644618422e-05, 0.008582035691768717, 0.00922757712677353, 0.008582035691768717, 0.009070801889445304, 0.009100114246538494, 0.009174081076110905, 0.00922757712677353
m_i_20, 0.007748451852439814, 0.00017809044035010916, 3.9822233076571545e-05, 0.0071510180861933574, 0.008055301506496668, 0.0071510180861933574, 0.007755204453304966, 0.007814002487250091, 0.007827798029139344, 0.008055301506496668
m_i_21, 0.006691184463598345, 0.00018692559043502642, 4.179783269470036e-05, 0.006021105336087929, 0.0070909285642172665, 0.006021105336087929, 0.006685520328418527, 0.0067475399794902705, 0.0067475399794902705, 0.0070909285642172665
m_i_22, 0.005846125321176161, 0.00019291340841145227, 4.31367494979187e-05, 0.005145044984503027, 0.006300782094421514, 0.005145044984503027, 0.005822900384849833, 0.005891033075236746, 0.005891033075236746, 0.006300782094421514
m_i_23, 0.005176858122667575, 0.0001939246649039522, 4.3362873323910485e-05, 0.004479684538321789, 0.0056544923431483245, 0.004479684538321789, 0.005132119998075623, 0.005219850734322212, 0.005219850734322212, 0.0056544923431483245
m_i_24, 0.004650672251476666, 0.0001905342646988866, 4.260475679096488e-05, 0.003985971468259873, 0.00512499600798931, 0.003985971468259873, 0.004581579048985495, 0.004699413644560501, 0.004700361407876488, 0.00512499600798931
m_i_25, 0.004238562776917238, 0.00018454863781258515, 4.126632993039285e-05, 0.003628953208865463, 0.004688536238088781, 0.003628953208865463, 0.004143301923881918, 0.004298989763635819, 0.004298989763635819, 0.004688536238088781
m_i_26, 0.003915230454212859, 0.0001783039097115919, 3.9869966276910456e-05, 0.003377777158519284, 0.004324662634143761, 0.003377777158519284, 0.003792937514480236, 0.003991694319102771, 0.003991694319102771, 0.004324662634143761
m_i_27, 0.003659081724496839, 0.00017415752011804052, 3.894280537767259e-05, 0.0032056906794345787, 0.00401623124840397, 0.0032056906794345787, 0.0035097592179086637, 0.0037544898083863402, 0.0037544898083863402, 0.00401623124840397
m_i_28, 0.003452228714812234, 0.00017392222399378323, 3.889019156480443e-05, 0.0030900410976571237, 0.0037494045846718305, 0.0030900410976571237, 0.0032766649367082833, 0.003568185998781898, 0.003568185998781898, 0.0037494045846718305
m_i_29, 0.00328048923811185, 0.00017833361778176986, 3.9876609203350264e-05, 0.003012275703065225, 0.0035276341673502127, 0.003012275703065225, 0.0030801770788330494, 0.0034174399274551977, 0.0034174399274551977, 0.0035276341673502127
m_i_30, 0.0031333867932582422, 0.0001868884270720825, 4.178952271411884e-05, 0.002910442557649792, 0.003398362291701078, 0.002910442557649792, 0.002910442557649792, 0.0032907559014423845, 0.0032907559014423845, 0.003398362291701078
m_i_31, 0.003004150565023707, 0.00019819044098847542, 4.431672985408915e-05, 0.002761232791938205, 0.0032817931651753568, 0.002761232791938205, 0.002761232791938205, 0.0031097747368361416, 0.0031804854976499827, 0.0032817931651753568
m_i_32, 0.002889715424090297, 0.00021051044837094916, 4.707156725314021e-05, 0.002629943705890858, 0.0031755737071710384, 0.002629943705890858, 0.002629943705890858, 0.0029371210302129433, 0.003082827562854905, 0.0031755737071710384
m_i_33, 0.002790721927049805, 0.00022221197735175735, 4.968810867731731e-05, 0.0025175957291131896, 0.003081081110777418, 0.0025175957291131896, 0.0025175957291131896, 0.0028525005282577964, 0.002997828213704448, 0.003081081110777418
m_i_34, 0.002711516316403772, 0.00023195246581661903, 5.186614811146564e-05, 0.0024288337966235107, 0.003003422842775096, 0.0024288337966235107, 0.0024288337966235107, 0.0028293641519067624, 0.0029293808367162966, 0.003003422842775096
m_i_35, 0.0026601505205634947, 0.00023873802444839508, 5.338344514806181e-05, 0.0023719273488530023, 0.0029514366436359826, 0.0023719273488530023, 0.0023719273488530023, 0.002818894942494221, 0.0028852260882785193, 0.0029514366436359826
m_i_36, 0.0026483821538500077, 0.00024192029502882793, 5.409502248212635e-05, 0.002358770331645716, 0.0029376905275232948, 0.002358770331645716, 0.002358770331645716, 0.0028312399367261803, 0.0028769518946495693, 0.0029376905275232948
m_i_37, 0.002691674516494095, 0.00024118578176892123, 5.393078032417373e-05, 0.002404881196258576, 0.002978482782291557, 0.002404881196258576, 0.002404881196258576, 0.002880646135141176, 0.0029199934519582864, 0.002978482782291557
m_i_38, 0.002809196594636296, 0.00023656083892995822, 5.289661166617652e-05, 0.0025294028993613753, 0.0030938419694866, 0.0025294028993613753, 0.0025294028993613753, 0.002985460502110275, 0.0030336332262038963, 0.0030938419694866
m_i_39, 0.0030238230603268873, 0.00022844509426540126, 5.108187599037846e-05, 0.0027551029030367796, 0.003307526924345563, 0.0027551029030367796, 0.0027551029030367796, 0.00316812996583707, 0.003241000953256009, 0.003307526924345563
m_i_40, 0.0033621342715258982, 0.00021768433915525485, 4.867569799882689e-05, 0.0031083731747803245, 0.0036470267557968928, 0.0031083731747803245, 0.0031083731747803245, 0.003455201418357686, 0.00356907363885462, 0.0036470267557968928
m_i_41, 0.0038544162721031077, 0.00020568948294793173, 4.599356661283591e-05, 0.0036192301875004173, 0.004143560846460343, 0.0036192301875004173, 0.0036192301875004173, 0.0038773217155407737, 0.004048675558610112, 0.004143560846460343
m_i_42, 0.004534660791838036, 0.00019457754931052041, 4.350886271536409e-05, 0.004321314919518336, 0.004832078852646975, 0.004321314919518336, 0.004321314919518336, 0.004502683928018458, 0.004714478258003251, 0.004832078852646975
m_i_43, 0.005440565246419957, 0.0001872085509848994, 4.186110459714703e-05, 0.00525189285456823, 0.005751260704359157, 0.00525189285456823, 0.00525189285456823, 0.005447815606530665, 0.0056050005523851885, 0.005751260704359157
m_i_44, 0.006613532737447893, 0.00018682107982881765, 4.17744634127151e-05, 0.006321943691239337, 0.0069435166052905705, 0.006321943691239337, 0.006451853981797125, 0.006662829479057038, 0.006762608526977471, 0.0069435166052905705
m_i_45, 0.0080986720524306, 0.00019604499422776965, 4.383699337418468e-05, 0.007672727202409411, 0.008454987032826182, 0.007672727202409411, 0.007965712795764891, 0.008190097725795945, 0.008233515536872002, 0.008454987032826182
m_i_46, 0.009944797664786606, 0.00021584463137449894, 4.826432683317634e-05, 0.009373293295073169, 0.01033554273804231, 0.009373293295073169, 0.009841608296444324, 0.010067782207031119, 0.010067782207031119, 0.01033554273804231
m_i_47, 0.012204429733844153, 0.00024547239837655006, 5.4889296936987506e-05, 0.011478888608094404, 0.012638784745706516, 0.011478888608094404, 0.012131303989221014, 0.012319316432287477, 0.012319316432287477, 0.012638784745706516
m_i_48, 0.014933794104841283, 0.0002834137959961595, 6.337325136086703e-05, 0.014048859744169511, 0.01542204435427775, 0.014048859744169511, 0.014890187884893514, 0.015045873377344206, 0.015045873377344206, 0.01542204435427775
m_i_49, 0.0181928223089257, 0.0003283321549679425, 7.341730177073146e-05, 0.01714665326982732, 0.01874638313590617, 0.01714665326982732, 0.01817727249967314, 0.01830905547677471, 0.01830905547677471, 0.01874638313590617
log_U_tau, 1.0928571428571423, 0.0400307045835366, 0.008951137663600025, 0.9183673469387763, 1.1020408163265305, 0.9183673469387763, 1.1020408163265305, 1.1020408163265305, 1.1020408163265305, 1.1020408163265305
total_m, 0.5509625159690392, 0.019288490976253517, 0.004313037700629414, 0.509832991551371, 0.5880360993975857, 0.509832991551371, 0.5359515639941734, 0.541484115022334, 0.5705273295013568, 0.5880360993975857
NRMSE_r, 0.42263279777788404, 0.011571500853564063, 0.0025874662510266084, 0.4063510381807155, 0.44566546047424477, 0.4063510381807155, 0.4123692847033031, 0.4321285785498999, 0.4324233356347311, 0.44566546047424477
log_half_tau, -5.154081632653062, 0.04003070458353699, 0.008951137663600112, -5.163265306122449, -4.979591836734693, -5.163265306122449, -5.163265306122449, -5.163265306122449, -5.163265306122449, -4.979591836734693
NRMSE_i, 0.06770829692007205, 0.0057113623789775995, 0.0012770994523528829, 0.06219267497590079, 0.08031478285706256, 0.06219267497590079, 0.06368355725860403, 0.06368355725860403, 0.07361281776072348, 0.08031478285706256
