Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
log_tau_0, -0.885422806483, 0.103043183328, 0.00437796782771, -1.09070581459, -0.693306025922, -1.08368051921, -0.956476885927, -0.889867677778, -0.816550417578, -0.678805441242
log_tau_1, -5.51496698108, 0.586655842964, 0.0318883809976, -6.49050400849, -4.31779997845, -6.45478555397, -5.94967976667, -5.6016179716, -5.11275013539, -4.26149938052
c_0, 0.4657136324, 0.0391990146752, 0.00163464295923, 0.385884804772, 0.539595037902, 0.387839138903, 0.440847771163, 0.467200644136, 0.492016721133, 0.541861615554
c_1, 0.59499934819, 0.0964034758043, 0.00476548734728, 0.427542636691, 0.790531344175, 0.436141796873, 0.525932541046, 0.586438195684, 0.655213380945, 0.811697356679
R0, 0.999185731644, 0.0060378717139, 0.000245242860068, 0.987623216984, 1.01133820504, 0.98788668716, 0.995059760816, 0.998921708958, 1.00308458964, 1.01169865357
m_0, 0.143371569589, 0.0116035997149, 0.000483259006814, 0.118389554937, 0.164142949336, 0.120682491425, 0.135340674673, 0.143870042255, 0.151206976822, 0.167021644727
m_1, 0.533005026075, 0.252707972858, 0.0127691174846, 0.118606078612, 0.968131317149, 0.118633170364, 0.314642873117, 0.52832175066, 0.742744916563, 0.975800653426
